Country,region
Slovak Republic,Europe & Central Asia
Slovenia,Europe & Central Asia
Solomon Islands,East Asia & Pacific
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Spain,Europe & Central Asia
Sri Lanka,South Asia
Sudan,Sub-Saharan Africa
Suriname,Latin America & Caribbean
Swaziland,Sub-Saharan Africa
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Syria,Middle East & North Africa
Taiwan,East Asia & Pacific
Tajikistan,Europe & Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
Timor-Leste,East Asia & Pacific
Togo,Sub-Saharan Africa
Tonga,East Asia & Pacific
Trinidad and Tobago,Latin America & Caribbean
Tunisia,Middle East & North Africa
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Tuvalu,East Asia & Pacific
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
United Kingdom,Europe & Central Asia
United States,North America
Uruguay,Latin America & Caribbean
Uzbekistan,Europe & Central Asia
Vanuatu,East Asia & Pacific
Venezuela,Latin America & Caribbean
Palestine,Middle East & North Africa
Vietnam,East Asia & Pacific
Yemen,Middle East & North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
